Year,Mileage,Brand,Price
2002,195272,Honda,5000
2013,71633,Audi,16192
2008,183205,Kia,5000
2012,21302,Honda,8808
2014,130631,Mercedes,16621
2012,66533,Audi,14564
2010,66170,BMW,10411
2002,121243,Nissan,5000
2008,33523,Ford,5037
2008,168305,BMW,5307
2006,13143,BMW,5000
2007,31744,Mercedes,6321
2021,111792,Nissan,14518
2018,42084,Hyundai,13462
2015,22153,Kia,10512
2013,6971,BMW,17749
2007,120909,BMW,5000
2018,151871,Ford,13159
2023,153017,Nissan,14503
2009,69661,Mercedes,9682
2009,84383,Audi,8727
2008,90514,Kia,5000
2001,146151,Audi,5000
2001,47831,Hyundai,5000
2003,71673,Nissan,5000
2010,142087,Kia,5000
2023,125367,Mercedes,32031
2005,184738,Honda,5000
2006,165404,Hyundai,5000
2000,6158,Audi,5000
2006,101808,Chevrolet,5000
2006,51509,Ford,5000
2019,8193,Honda,16967
2022,19021,Nissan,19046
2005,114026,Toyota,5000
2015,39936,BMW,20242
2012,90906,Honda,7527
2009,69998,Ford,5805
2017,96723,Mercedes,23591
2014,111931,BMW,15522
2009,140324,Mercedes,8092
2017,5990,Toyota,16055
2019,72414,Mercedes,28862
2004,194657,Mercedes,5000
2002,116984,Mercedes,5000
2009,107644,Ford,5296
2009,62690,Audi,9183
2014,112681,Chevrolet,9295
2000,27984,Audi,5000
2012,57685,Nissan,7784
2023,74570,Hyundai,16974
2020,141790,Honda,13182
2002,59355,Hyundai,5000
2003,111607,Ford,5000
2007,91650,Mercedes,5512
2006,180468,Toyota,5000
2015,179513,Mercedes,15864
2013,96078,Kia,7270
2009,155523,Nissan,5000
2019,113169,Ford,15666
2003,74243,Ford,5000
2007,50848,Honda,5000
2012,62221,Nissan,7704
2001,79772,BMW,5000
2002,80478,Ford,5000
2000,124305,Audi,5000
2014,7153,Chevrolet,11828
2017,111916,Nissan,11099
2006,176609,Audi,5000
2020,76354,Nissan,14912
2004,128430,Audi,5000
2003,75104,Nissan,5000
2006,162903,Nissan,5000
2009,33826,Mercedes,10488
2010,73783,BMW,10229
2020,180350,Mercedes,23014
2013,185368,Honda,6512
2000,89205,Audi,5000
2019,65648,Mercedes,29318
2004,140538,Toyota,5000
2004,67949,Ford,5000
2021,24491,Ford,21825
2007,55654,Audi,5598
2011,136952,Honda,5845
2015,117150,BMW,16845
2001,33031,BMW,5000
2016,168722,Kia,7950
2009,23810,Honda,5476
2004,52769,Ford,5000
2004,144990,Honda,5000
2021,108676,Honda,15300
2020,136917,Toyota,14523
2022,187486,Chevrolet,13500
2009,128439,BMW,7431
2013,199088,Audi,11374
2011,69982,Ford,8127
2013,177477,Kia,5805
2006,11012,Nissan,5000
2005,156417,Chevrolet,5000
2000,79842,Chevrolet,5000
2016,96018,Toyota,12119
2014,55227,Nissan,9785
2014,48575,Honda,10382
2019,85653,Hyundai,13051
2007,71906,Chevrolet,5000
2022,155755,Kia,12392
2009,117946,Ford,5157
2005,196896,Honda,5000
2008,135210,Hyundai,5000
2005,74084,Hyundai,5000
2011,53430,Ford,8440
2006,48583,BMW,5000
2021,132473,Mercedes,28115
